OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BTR,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01/21/2017,6,26,11,0,43,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,10,0,10,69,69,
01/22/2017,13,32,42,6,93,0,1,1,0,2,0,2,15,1,18,0,2,1,0,3,10,0,10,121,126,
01/23/2017,15,35,58,0,108,0,1,0,0,1,0,0,57,1,58,0,1,12,0,13,8,0,8,174,188,
01/24/2017,15,36,52,0,103,0,0,1,0,1,0,2,58,2,62,0,1,8,1,10,71,0,71,236,247,
01/25/2017,14,39,56,0,109,0,1,2,1,4,0,0,12,0,12,0,0,3,0,3,52,0,52,173,180,
01/26/2017,17,45,57,0,119,0,1,0,0,1,0,5,49,0,54,0,1,8,0,9,34,0,34,207,217,
01/27/2017,12,43,49,1,105,0,1,1,0,2,0,0,60,1,61,0,2,3,0,5,24,0,24,190,197,
01/28/2017,12,34,37,0,83,0,1,0,0,1,0,11,52,0,63,0,2,3,0,5,28,0,28,174,180,
01/29/2017,15,31,33,0,79,0,0,0,0,0,0,0,31,0,31,0,0,3,1,4,0,0,0,110,114,
01/30/2017,17,39,55,4,115,1,1,0,0,2,0,2,57,0,59,0,0,8,0,8,50,0,50,224,234,
01/31/2017,16,40,37,8,101,0,2,0,0,2,0,2,51,2,55,0,0,8,0,8,18,2,20,176,186,
02-01-2017,15,42,74,3,134,0,0,0,0,0,0,0,47,1,48,0,0,7,0,7,38,0,38,220,227,
02-02-2017,12,42,64,3,121,0,0,0,0,0,0,0,37,1,38,0,0,3,0,3,0,0,0,159,162,
02-03-2017,14,38,42,4,98,1,1,2,1,5,0,0,17,1,18,0,0,1,2,3,12,0,12,128,136,
02-04-2017,6,31,27,1,65,0,1,1,0,2,0,5,35,1,41,0,0,4,0,4,28,0,28,134,140,
02-05-2017,4,33,21,0,58,0,1,1,0,2,0,0,20,0,20,0,0,2,0,2,6,0,6,84,88,
02-06-2017,10,43,51,0,104,0,0,3,0,3,0,0,14,2,16,0,0,4,1,5,8,0,8,128,136,
02-07-2017,12,44,43,0,99,1,0,0,0,1,0,2,3,2,7,0,1,2,1,4,4,0,4,110,115,
02-08-2017,15,46,65,7,133,1,1,0,2,4,0,8,46,2,56,0,3,9,0,12,58,0,58,247,263,
02-09-2017,11,47,67,0,125,0,0,0,0,0,0,0,50,8,58,0,0,10,0,10,30,0,30,213,223,
02-10-2017,14,46,50,0,110,0,0,3,1,4,0,2,75,0,77,0,0,4,1,5,18,0,18,205,214,
02-11-2017,9,27,25,0,61,0,0,0,0,0,0,0,27,0,27,0,1,2,0,3,0,0,0,88,91,
02-12-2017,18,39,50,0,107,0,0,0,0,0,0,0,11,0,11,0,1,3,1,5,0,0,0,118,123,
02/13/2017,15,41,55,0,111,0,1,0,0,1,0,5,39,1,45,0,0,3,1,4,70,0,70,226,231,
02/14/2017,13,40,25,0,78,0,1,1,0,2,0,0,9,0,9,0,0,6,0,6,31,0,31,118,126,
02/15/2017,13,45,48,1,107,0,0,0,0,0,0,0,29,1,30,0,1,7,2,10,0,0,0,137,147,
02/16/2017,19,44,53,2,118,0,2,1,0,3,0,2,72,2,76,0,0,7,0,7,76,0,76,270,280,
02/17/2017,18,38,52,5,113,0,0,0,1,1,0,0,58,4,62,0,0,3,0,3,46,0,46,221,225,
02/18/2017,11,29,29,1,70,0,0,3,0,3,0,2,22,2,26,0,1,1,0,2,18,0,18,114,119,
02/19/2017,16,24,33,1,74,0,0,1,0,1,0,1,31,3,35,0,0,3,1,4,66,0,66,175,180,
02/20/2017,20,32,38,1,91,0,0,0,0,0,0,3,17,0,20,0,0,6,0,6,28,0,28,139,145,
